order_date,category_name,product_name,product_price,order_qty,total_sales,cust_email,cust_city
1/1/2020,Drone Kits,BYOD-220,69,1,69,edew@nba.com#mailto:edew@nba.com#,Honolulu
1/1/2020,eBooks,Polar Robots,23.99,2,47.98,fvaslerqt@comsenz.com#mailto:fvaslerqt@comsenz.com#,Jackson
1/1/2020,eBooks,SCARA Robots,19.5,5,97.5,llespercx@com.com#mailto:llespercx@com.com#,Des Moines
1/1/2020,eBooks,Spherical Robots,16.75,5,83.75,lfromonte9@de.vu#mailto:lfromonte9@de.vu#,Birmingham
1/1/2020,Robots,RWW-75 Robot,883,3,2649,tmckernot@tinyurl.com#mailto:tmckernot@tinyurl.com#,Katy
1/1/2020,Training Videos,Drone Video Techniques,37.99,6,227.94,gstiggersdd@eventbrite.com#mailto:gstiggersdd@eventbrite.com#,Saint Petersburg
1/2/2020,Blueprints,Ladybug Robot Blueprint,12,2,24,akingaby78@deviantart.com#mailto:akingaby78@deviantart.com#,West Palm Beach
1/2/2020,Drone Kits,BYOD-100,54,5,270,jzellick84@ustream.tv#mailto:jzellick84@ustream.tv#,Washington
1/2/2020,Drones,DTE-QFN20 Drone,250,2,500,jcolthurstgu@cbsnews.com#mailto:jcolthurstgu@cbsnews.com#,Sacramento
1/2/2020,eBooks,Fixed Wing Drones,15.5,3,46.5,ohalbardv@booking.com#mailto:ohalbardv@booking.com#,Birmingham
1/2/2020,Robot Kits,BYOR-2640S,189,2,378,aguiongo@behance.net#mailto:aguiongo@behance.net#,Houston
1/2/2020,Robot Kits,BYOR-2640S,189,2,378,gmirrlees4v@state.tx.us#mailto:gmirrlees4v@state.tx.us#,Washington
1/2/2020,Robot Kits,BYOR-3000,214,2,428,croylede@dot.gov#mailto:croylede@dot.gov#,Virginia Beach
1/2/2020,Training Videos,Drone Video Techniques,37.99,2,75.98,lgatenbyel@quantcast.com#mailto:lgatenbyel@quantcast.com#,Des Moines
1/2/2020,Training Videos,Understanding Automation,44.95,1,44.95,ksteershp@ameblo.jp#mailto:ksteershp@ameblo.jp#,San Diego
1/3/2020,Drone Kits,BYOD-350,89.95,3,269.85,bbockhc0@jimdo.com#mailto:bbockhc0@jimdo.com#,Torrance
1/3/2020,Drones,DA-SA702 Drone,399,4,1596,cgabrielaq@spotify.com#mailto:cgabrielaq@spotify.com#,Stamford
1/3/2020,Robots,MICR-23K Robot,899,2,1798,cciobutaru6v@netlog.com#mailto:cciobutaru6v@netlog.com#,Charlotte
1/3/2020,Training Videos,Drone Video Techniques,37.99,3,113.97,rrehm6a@yandex.ru#mailto:rrehm6a@yandex.ru#,Green Bay
1/4/2020,Drone Kits,BYOD-350,89.95,4,359.8,croylede@dot.gov#mailto:croylede@dot.gov#,Virginia Beach
1/4/2020,Drone Kits,BYOD-550,179,2,358,nmaven3o@go.com#mailto:nmaven3o@go.com#,Sarasota
1/4/2020,Drones,DC-304 Drone,395,3,1185,sabrahamian3i@zimbio.com#mailto:sabrahamian3i@zimbio.com#,Charlotte
1/4/2020,Robots,MICR-23K Robot,899,5,4495,dkainzh6@freewebs.com#mailto:dkainzh6@freewebs.com#,Albany
1/4/2020,Training Videos,Drone Video Techniques,37.99,3,113.97,mchesmanfc@mit.edu#mailto:mchesmanfc@mit.edu#,Palatine
1/5/2020,eBooks,RTF Drones,16.99,5,84.95,polivio2@ft.com#mailto:polivio2@ft.com#,Sacramento
1/5/2020,eBooks,SCARA Robots,19.5,4,78,mousley1o@pcworld.com#mailto:mousley1o@pcworld.com#,Boynton Beach
1/5/2020,eBooks,Spherical Robots,16.75,5,83.75,bchittendenot@e-recht24.de#mailto:bchittendenot@e-recht24.de#,Washington
1/5/2020,Training Videos,AI for Educators,49.95,2,99.9,xhulle6v@shinystat.com#mailto:xhulle6v@shinystat.com#,Charlotte
1/6/2020,Drone Kits,BYOD-220,69,3,207,ocuthbertp9@indiatimes.com#mailto:ocuthbertp9@indiatimes.com#,Mobile
1/6/2020,eBooks,Helicopter Drones,20.95,5,104.75,eporter9k@google.co.uk#mailto:eporter9k@google.co.uk#,Oakland
1/6/2020,eBooks,Single Rotor Drones,14.99,6,89.94,pgaskalb9@webnode.com#mailto:pgaskalb9@webnode.com#,Flushing
1/6/2020,Robot Kits,BYOR-3535,225,4,900,tbeller7o@addtoany.com#mailto:tbeller7o@addtoany.com#,Melbourne
1/6/2020,Robots,RWW-75 Robot,883,3,2649,ohalbardv@booking.com#mailto:ohalbardv@booking.com#,Birmingham
1/6/2020,Training Videos,Understanding 3D Printing,42.99,1,42.99,aberickkg@intel.com#mailto:aberickkg@intel.com#,Atlanta
1/7/2020,Blueprints,Creature Robot Arms Blueprint,12,5,60,ndegv@sakura.ne.jp#mailto:ndegv@sakura.ne.jp#,Anniston
1/7/2020,Drones,DX-145 Drone,250,4,1000,mmulcasterks@spiegel.de#mailto:mmulcasterks@spiegel.de#,Columbus
1/7/2020,Drones,DX-145 Drone,250,5,1250,ascarsbrooke6g@bloglovin.com#mailto:ascarsbrooke6g@bloglovin.com#,Jackson
1/7/2020,eBooks,Articulated Robots,23.99,1,23.99,nclandillon9s@huffingtonpost.com#mailto:nclandillon9s@huffingtonpost.com#,Lincoln
1/7/2020,eBooks,Building Your First Robot,24.95,6,149.7,hwimesbb@deviantart.com#mailto:hwimesbb@deviantart.com#,Miami
1/7/2020,eBooks,Cartesian Robots,12.99,5,64.95,rdeerec6@china.com.cn#mailto:rdeerec6@china.com.cn#,Syracuse
1/7/2020,Robot Kits,BYOR-3000,214,4,856,cloinsjc@mail.ru#mailto:cloinsjc@mail.ru#,Oklahoma City
1/7/2020,Training Videos,AI for Educators,49.95,3,149.85,tleishmanmi@msu.edu#mailto:tleishmanmi@msu.edu#,Pensacola
1/7/2020,Training Videos,Drone Video Techniques,37.99,2,75.98,mellseo8@engadget.com#mailto:mellseo8@engadget.com#,Reno
1/8/2020,eBooks,GPS Drones,19.99,6,119.94,emergue9q@nhs.uk#mailto:emergue9q@nhs.uk#,Greensboro
1/8/2020,Robot Kits,BYOR-1000,189,1,189,mknyvettt@spiegel.de#mailto:mknyvettt@spiegel.de#,Shawnee Mission
1/8/2020,Robot Kits,BYOR-2640S,189,4,756,ykikkec5@bing.com#mailto:ykikkec5@bing.com#,Arlington
1/8/2020,Training Videos,Understanding 3D Printing,42.99,4,171.96,dshelborne6w@4shared.com#mailto:dshelborne6w@4shared.com#,Columbus
1/9/2020,eBooks,Cartesian Robots,12.99,1,12.99,dhassencj@hp.com#mailto:dhassencj@hp.com#,Rochester
1/9/2020,eBooks,Photograph Drones,14.99,5,74.95,ntolussidy@sciencedaily.com#mailto:ntolussidy@sciencedaily.com#,El Paso
1/9/2020,eBooks,Single Rotor Drones,14.99,3,44.97,ttrowel3@joomla.org#mailto:ttrowel3@joomla.org#,Hagerstown
1/9/2020,Robots,RXW-9807 Robot,599,5,2995,cdivesa9@mit.edu#mailto:cdivesa9@mit.edu#,Springfield
1/9/2020,Robots,RXW-9807 Robot,599,6,3594,fuebeli@army.mil#mailto:fuebeli@army.mil#,Lima
1/10/2020,Drones,DTE-QFN20 Drone,250,2,500,llucken6y@arstechnica.com#mailto:llucken6y@arstechnica.com#,Dallas
